Origin,Destination,Airline_name1,Flight_code,Stops,Travel_date,Departure_time,Arrival_time,Fare,Base price,GST,Currency,Scraped_at time,Source
BLR,HYD,Alliance Air,9I-517,Non-stop,9/8/2026,20:50,22:35,3759,3580,179,INR,9/1/2026 6:39,Cleartrip
AMD,BOM,Akasa Air,QP-1194,Non-stop,9/8/2026,4:50,6:15,3883,3698.1,184.9,INR,9/1/2026 6:43,Cleartrip
AMD,BOM,Akasa Air,QP-1194,Non-stop,9/16/2026,4:50,6:15,3883,3698.1,184.9,INR,9/1/2026 6:43,Cleartrip
GOI,BOM,Star Air,S5-622,1 stop,10/1/2026,5:45,9:15,3998,3807.62,190.38,INR,9/1/2026 6:52,Cleartrip
BLR,PNQ,Akasa Air,QP-1313,Non-stop,10/1/2026,10:00,11:40,4022,3830.48,191.52,INR,9/1/2026 6:45,Cleartrip
BLR,PNQ,Air India Express,IX-2873,Non-stop,10/1/2026,4:00,5:35,4023,3831.43,191.57,INR,9/1/2026 6:45,Cleartrip
AMD,BOM,Akasa Air,QP-1194,Non-stop,10/1/2026,4:35,6:00,4051,3858.1,192.9,INR,9/1/2026 6:44,Cleartrip
AMD,BOM,Akasa Air,QP-1104,Non-stop,10/1/2026,22:30,0:05,4051,3858.1,192.9,INR,9/1/2026 6:44,Cleartrip
BLR,HYD,Alliance Air,9I-517,Non-stop,9/16/2026,17:55,19:40,4074,3880,194,INR,9/1/2026 6:39,Cleartrip
BLR,PNQ,Akasa Air,QP-1311,Non-stop,10/1/2026,5:10,6:50,4164,3965.71,198.29,INR,9/1/2026 6:45,Cleartrip
BLR,PNQ,Akasa Air,QP-1315,Non-stop,10/1/2026,15:15,16:55,4164,3965.71,198.29,INR,9/1/2026 6:45,Cleartrip
AMD,BOM,IndiGo,6E-6205,Non-stop,9/16/2026,1:15,2:55,4218,4017.14,200.86,INR,9/1/2026 6:43,Cleartrip
AMD,BOM,IndiGo,6E-6205,Non-stop,9/8/2026,1:15,2:55,4218,4017.14,200.86,INR,9/1/2026 6:43,Cleartrip
AMD,BOM,Akasa Air,QP-1102,Non-stop,10/1/2026,10:35,12:00,4225,4023.81,201.19,INR,9/1/2026 6:44,Cleartrip
AMD,BOM,IndiGo,6E-5146,Non-stop,10/1/2026,8:05,9:35,4268,4064.76,203.24,INR,9/1/2026 6:44,Cleartrip
AMD,BOM,IndiGo,6E-6285,Non-stop,10/1/2026,4:00,5:30,4268,4064.76,203.24,INR,9/1/2026 6:44,Cleartrip
AMD,BOM,IndiGo,6E-6205,Non-stop,10/1/2026,1:15,2:55,4268,4064.76,203.24,INR,9/1/2026 6:44,Cleartrip
BLR,BOM,IndiGo,6E-5205,Non-stop,9/8/2026,3:45,5:30,4269,4065.71,203.29,INR,9/1/2026 6:23,Cleartrip
BLR,BOM,IndiGo,6E-5293,Non-stop,9/8/2026,1:00,2:50,4269,4065.71,203.29,INR,9/1/2026 6:23,Cleartrip
BLR,HYD,Air India Express,IX-1250,Non-stop,9/16/2026,19:15,20:25,4392,4182.86,209.14,INR,9/1/2026 6:39,Cleartrip
BLR,HYD,IndiGo,6E-6784,Non-stop,9/8/2026,21:30,22:45,4393,4183.81,209.19,INR,9/1/2026 6:39,Cleartrip
BLR,HYD,IndiGo,6E-312,Non-stop,9/8/2026,9:15,10:30,4393,4183.81,209.19,INR,9/1/2026 6:39,Cleartrip
BLR,HYD,IndiGo,6E-6404,Non-stop,9/8/2026,11:35,12:50,4393,4183.81,209.19,INR,9/1/2026 6:39,Cleartrip
BLR,HYD,IndiGo,6E-6178,Non-stop,9/16/2026,6:25,7:35,4393,4183.81,209.19,INR,9/1/2026 6:39,Cleartrip
BLR,HYD,IndiGo,6E-6067,Non-stop,9/16/2026,16:30,17:45,4393,4183.81,209.19,INR,9/1/2026 6:39,Cleartrip
BLR,HYD,IndiGo,6E-6067,Non-stop,10/1/2026,16:30,17:45,4393,4183.81,209.19,INR,9/1/2026 6:39,Cleartrip
BLR,HYD,IndiGo,6E-6784,Non-stop,9/16/2026,21:30,22:45,4393,4183.81,209.19,INR,9/1/2026 6:39,Cleartrip
BLR,HYD,IndiGo,6E-855,Non-stop,9/16/2026,19:45,21:00,4393,4183.81,209.19,INR,9/1/2026 6:39,Cleartrip
BLR,HYD,IndiGo,6E-6178,Non-stop,9/8/2026,6:25,7:35,4393,4183.81,209.19,INR,9/1/2026 6:39,Cleartrip
BLR,HYD,IndiGo,6E-312,Non-stop,9/16/2026,9:15,10:30,4393,4183.81,209.19,INR,9/1/2026 6:39,Cleartrip
BLR,HYD,IndiGo,6E-484,Non-stop,9/16/2026,8:15,9:30,4393,4183.81,209.19,INR,9/1/2026 6:39,Cleartrip
