Origin,Destination,Airline name,Flight_code,Stops,Travel_date,Departure_time,Arrival_time,Fare,Base price,GST,Currency,Scraped_at time,Source
AMD,BOM,IndiGo,6E-522,Non-stop,2026-09-26,14:00,15:20,3498.0,3331.43,166.57,INR,2026-08-27 06:09:23,Cleartrip
AMD,BOM,Akasa Air,QP-1194,Non-stop,2026-09-11,04:45,06:15,3720.0,3542.86,177.14,INR,2026-08-27 06:09:06,Cleartrip
AMD,BOM,Unknown,9I-612,Non-stop,2026-09-26,20:35,22:20,3837.0,3654.29,182.71,INR,2026-08-27 06:09:23,Cleartrip
BLR,PNQ,Unknown,S5-183,1 stop,2026-09-26,08:00,20:05,3998.0,3807.62,190.38,INR,2026-08-27 06:10:43,Cleartrip
AMD,BOM,IndiGo,6E-6285,Non-stop,2026-09-26,04:00,05:30,4008.0,3817.14,190.86,INR,2026-08-27 06:09:23,Cleartrip
AMD,BOM,IndiGo,6E-6285,Non-stop,2026-09-11,04:00,05:30,4008.0,3817.14,190.86,INR,2026-08-27 06:09:06,Cleartrip
AMD,BOM,Akasa Air,QP-1194,Non-stop,2026-09-26,04:45,06:15,4051.0,3858.1,192.9,INR,2026-08-27 06:09:23,Cleartrip
BLR,HYD,Unknown,9I-517,Non-stop,2026-09-26,20:50,22:35,4109.0,3913.33,195.67,INR,2026-08-27 06:05:12,Cleartrip
AMD,BOM,IndiGo,6E-5146,Non-stop,2026-09-11,08:05,09:35,4268.0,4064.76,203.24,INR,2026-08-27 06:09:06,Cleartrip
BLR,HYD,IndiGo,6E-638,Non-stop,2026-09-26,18:35,19:45,4428.0,4217.14,210.86,INR,2026-08-27 06:05:12,Cleartrip
BLR,HYD,IndiGo,6E-6784,Non-stop,2026-09-26,21:30,22:45,4428.0,4217.14,210.86,INR,2026-08-27 06:05:13,Cleartrip
BLR,HYD,IndiGo,6E-6178,Non-stop,2026-09-26,06:25,07:35,4428.0,4217.14,210.86,INR,2026-08-27 06:05:12,Cleartrip
BLR,HYD,IndiGo,6E-537,Non-stop,2026-09-26,10:15,11:30,4428.0,4217.14,210.86,INR,2026-08-27 06:05:12,Cleartrip
BLR,HYD,IndiGo,6E-6067,Non-stop,2026-09-26,16:30,17:45,4428.0,4217.14,210.86,INR,2026-08-27 06:05:12,Cleartrip
BLR,HYD,IndiGo,6E-484,Non-stop,2026-09-26,08:15,09:30,4428.0,4217.14,210.86,INR,2026-08-27 06:05:12,Cleartrip
BLR,HYD,IndiGo,6E-407,Non-stop,2026-09-26,14:50,16:05,4428.0,4217.14,210.86,INR,2026-08-27 06:05:12,Cleartrip
BLR,HYD,IndiGo,6E-484,Non-stop,2026-10-11,08:15,09:30,4428.0,4217.14,210.86,INR,2026-08-27 06:05:30,Cleartrip
BLR,HYD,IndiGo,6E-6178,Non-stop,2026-09-11,06:25,07:35,4428.0,4217.14,210.86,INR,2026-08-27 06:04:56,Cleartrip
BLR,HYD,IndiGo,6E-855,Non-stop,2026-09-26,19:45,21:00,4428.0,4217.14,210.86,INR,2026-08-27 06:05:12,Cleartrip
BLR,HYD,IndiGo,6E-312,Non-stop,2026-09-26,09:15,10:30,4428.0,4217.14,210.86,INR,2026-08-27 06:05:12,Cleartrip
AMD,BOM,Unknown,S5-628,1 stop,2026-09-11,06:40,09:15,4499.0,4284.76,214.24,INR,2026-08-27 06:09:06,Cleartrip
BLR,BOM,Akasa Air,QP-1383,Non-stop,2026-09-03,05:25,07:10,4564.0,4346.67,217.33,INR,2026-08-27 05:52:24,Cleartrip
BLR,BOM,Akasa Air,QP-1515,Non-stop,2026-09-03,06:20,08:00,4564.0,4346.67,217.33,INR,2026-08-27 05:52:23,Cleartrip
BLR,BOM,IndiGo,6E-5089,Non-stop,2026-09-03,05:30,07:15,4564.0,4346.67,217.33,INR,2026-08-27 05:52:24,Cleartrip
BLR,BOM,Akasa Air,QP-1134,Non-stop,2026-09-26,22:55,00:45,4564.0,4346.67,217.33,INR,2026-08-27 05:52:56,Cleartrip
BLR,BOM,Akasa Air,QP-1381,Non-stop,2026-09-26,04:50,06:45,4564.0,4346.67,217.33,INR,2026-08-27 05:52:56,Cleartrip
BLR,BOM,Akasa Air,QP-1528,Non-stop,2026-09-26,10:20,12:10,4564.0,4346.67,217.33,INR,2026-08-27 05:52:56,Cleartrip
BLR,BOM,Akasa Air,QP-1515,Non-stop,2026-09-26,06:20,08:00,4564.0,4346.67,217.33,INR,2026-08-27 05:52:56,Cleartrip
BLR,BOM,Air India Express,IX-1360,Non-stop,2026-09-26,20:55,22:40,4564.0,4346.67,217.33,INR,2026-08-27 05:52:56,Cleartrip
BLR,BOM,Akasa Air,QP-1517,Non-stop,2026-09-26,07:40,09:25,4564.0,4346.67,217.33,INR,2026-08-27 05:52:56,Cleartrip
BLR,BOM,IndiGo,6E-5205,Non-stop,2026-09-03,03:45,05:30,4564.0,4346.67,217.33,INR,2026-08-27 05:52:24,Cleartrip
