Origin,Destination,Airline name,Flight_code,Stops,Travel_date,Departure_time,Arrival_time,Duration,Fare,Base price,GST,Currency,Seats_left,Scraped_at time,Source
Bengaluru,Navi Mumbai,Air India Express,IX-1360,Nonstop,2026-09-26,20:55,22:40,01h 45m,4564.0,4346.67,217.33,INR,9 Seats Left,2026-08-27 08:10:00,EaseMyTrip
Bengaluru,Mumbai,AkasaAir,QP-1528,Nonstop,2026-09-26,10:20,12:10,01h 50m,4564.0,4346.67,217.33,INR,5 Seats Left,2026-08-27 08:10:00,EaseMyTrip
Bengaluru,Mumbai,AkasaAir,QP-1515,Nonstop,2026-09-03,06:20,08:00,01h 40m,4564.0,4346.67,217.33,INR,5 Seats Left,2026-08-27 08:09:34,EaseMyTrip
Bengaluru,Mumbai,IndiGo,6E-5205,Nonstop,2026-09-03,03:45,05:30,01h 45m,4564.0,4346.67,217.33,INR,,2026-08-27 08:09:34,EaseMyTrip
Bengaluru,Mumbai,AkasaAir,QP-1383,Nonstop,2026-09-03,05:25,07:10,01h 45m,4564.0,4346.67,217.33,INR,9 Seats Left,2026-08-27 08:09:34,EaseMyTrip
Bengaluru,Mumbai,IndiGo,6E-5089,Nonstop,2026-09-03,05:30,07:15,01h 45m,4564.0,4346.67,217.33,INR,,2026-08-27 08:09:34,EaseMyTrip
Bengaluru,Mumbai,AkasaAir,QP-1381,Nonstop,2026-09-03,04:50,06:45,01h 55m,4723.0,4498.1,224.9,INR,8 Seats Left,2026-08-27 08:09:34,EaseMyTrip
Bengaluru,Mumbai,SpiceJet,SG- 369,Nonstop,2026-09-26,00:45,02:35,01h 50m,4773.0,4545.71,227.29,INR,8 Seats Left,2026-08-27 08:10:00,EaseMyTrip
Bengaluru,Mumbai,SpiceJet,SG- 115,Nonstop,2026-09-26,04:55,06:55,02h 00m,4773.0,4545.71,227.29,INR,9 Seats Left,2026-08-27 08:10:00,EaseMyTrip
Bengaluru,Mumbai,Air India,AI-2858,Nonstop,2026-09-03,02:20,04:10,01h 50m,4930.0,4695.24,234.76,INR,9 Seats Left,2026-08-27 08:09:34,EaseMyTrip
Bengaluru,Mumbai,Air India,AI-2811,Nonstop,2026-09-26,23:40,01:45,02h 05m,4930.0,4695.24,234.76,INR,9 Seats Left,2026-08-27 08:10:00,EaseMyTrip
Hyderbad,Mumbai,AllianceAir,9I-925,Nonstop,2026-09-26,22:15,00:30,02h 15m,4954.0,4718.1,235.9,INR,,2026-08-27 08:16:18,EaseMyTrip
Bengaluru,Mumbai,IndiGo,6E-5293,Nonstop,2026-09-03,01:00,02:50,01h 50m,4984.0,4746.67,237.33,INR,6 Seats Left,2026-08-27 08:09:34,EaseMyTrip
Bengaluru,Mumbai,IndiGo,6E-5293,Nonstop,2026-09-26,01:00,02:50,01h 50m,4984.0,4746.67,237.33,INR,,2026-08-27 08:10:00,EaseMyTrip
Ahmedabad,New Delhi,IndiGo,6E-7114,1 Stop,2026-10-11,06:15,10:10,03h 55m,5123.0,4879.05,243.95,INR,8 Seats Left,2026-08-27 08:14:25,EaseMyTrip
Ahmedabad,New Delhi,IndiGo,6E-7261,1 Stop,2026-10-11,15:40,23:25,07h 45m,5123.0,4879.05,243.95,INR,,2026-08-27 08:14:25,EaseMyTrip
Ahmedabad,Noida,IndiGo,6E-7568,1 Stop,2026-10-11,16:55,21:25,04h 30m,5305.0,5052.38,252.62,INR,,2026-08-27 08:14:25,EaseMyTrip
Ahmedabad,Noida,IndiGo,6E-7145,1 Stop,2026-10-11,07:45,18:05,10h 20m,5305.0,5052.38,252.62,INR,2 Seats Left,2026-08-27 08:14:25,EaseMyTrip
Bengaluru,Mumbai,Air India,AI-2858,Nonstop,2026-09-26,02:20,04:10,01h 50m,5350.0,5095.24,254.76,INR,9 Seats Left,2026-08-27 08:10:00,EaseMyTrip
Bengaluru,Mumbai,Air India,AI-3306,Nonstop,2026-09-26,02:25,04:25,02h 00m,5350.0,5095.24,254.76,INR,9 Seats Left,2026-08-27 08:10:00,EaseMyTrip
Hyderbad,Mumbai,IndiGo,6E-6066,1 Stop,2026-09-03,09:35,14:50,05h 15m,5719.0,5446.67,272.33,INR,9 Seats Left,2026-08-27 08:15:52,EaseMyTrip
Hyderbad,Mumbai,IndiGo,6E- 151,1 Stop,2026-09-03,08:05,13:20,05h 15m,5719.0,5446.67,272.33,INR,,2026-08-27 08:15:52,EaseMyTrip
Hyderbad,Mumbai,IndiGo,6E- 216,1 Stop,2026-09-03,21:15,02:55,05h 40m,5719.0,5446.67,272.33,INR,7 Seats Left,2026-08-27 08:15:52,EaseMyTrip
Hyderbad,Mumbai,IndiGo,6E- 984,1 Stop,2026-09-03,19:40,01:25,05h 45m,5719.0,5446.67,272.33,INR,6 Seats Left,2026-08-27 08:15:52,EaseMyTrip
Hyderbad,Mumbai,IndiGo,6E- 413,1 Stop,2026-09-03,06:15,13:20,07h 05m,5719.0,5446.67,272.33,INR,,2026-08-27 08:15:52,EaseMyTrip
Ahmedabad,New Delhi,IndiGo,6E-5072,Nonstop,2026-09-26,14:35,16:20,01h 45m,5750.0,5476.19,273.81,INR,,2026-08-27 08:14:11,EaseMyTrip
Ahmedabad,New Delhi,IndiGo,6E-5385,Nonstop,2026-09-26,00:05,02:00,01h 55m,5750.0,5476.19,273.81,INR,,2026-08-27 08:14:11,EaseMyTrip
Ahmedabad,New Delhi,IndiGo,6E-5385,Nonstop,2026-09-11,00:05,02:00,01h 55m,5750.0,5476.19,273.81,INR,,2026-08-27 08:13:59,EaseMyTrip
Ahmedabad,New Delhi,IndiGo,6E-5385,Nonstop,2026-10-11,00:05,02:00,01h 55m,5750.0,5476.19,273.81,INR,,2026-08-27 08:14:25,EaseMyTrip
Ahmedabad,New Delhi,IndiGo,6E-2179,Nonstop,2026-09-26,09:50,11:35,01h 45m,5750.0,5476.19,273.81,INR,,2026-08-27 08:14:11,EaseMyTrip
Hyderbad,Mumbai,IndiGo,6E-6291,1 Stop,2026-09-03,09:20,16:35,07h 15m,5850.0,5571.43,278.57,INR,,2026-08-27 08:15:52,EaseMyTrip
Hyderbad,Mumbai,AllianceAir,9I-925,Nonstop,2026-09-03,00:55,03:10,02h 15m,5899.0,5618.1,280.9,INR,,2026-08-27 08:15:52,EaseMyTrip
Bengaluru,Mumbai,IndiGo,6E-5205,Nonstop,2026-09-26,03:45,05:30,01h 45m,5929.0,5646.67,282.33,INR,4 Seats Left,2026-08-27 08:10:00,EaseMyTrip
Bengaluru,Mumbai,IndiGo,6E-5089,Nonstop,2026-09-26,05:30,07:15,01h 45m,5929.0,5646.67,282.33,INR,9 Seats Left,2026-08-27 08:10:00,EaseMyTrip
Ahmedabad,New Delhi,IndiGo,6E-2340,Nonstop,2026-10-11,12:15,14:10,01h 55m,5945.0,5661.9,283.1,INR,,2026-08-27 08:14:25,EaseMyTrip
Ahmedabad,New Delhi,IndiGo,6E-2340,Nonstop,2026-09-26,12:15,14:10,01h 55m,5945.0,5661.9,283.1,INR,,2026-08-27 08:14:11,EaseMyTrip
Ahmedabad,New Delhi,IndiGo,6E-2209,Nonstop,2026-09-26,05:00,06:45,01h 45m,5945.0,5661.9,283.1,INR,,2026-08-27 08:14:11,EaseMyTrip
Ahmedabad,New Delhi,IndiGo,6E- 983,Nonstop,2026-09-26,07:30,09:15,01h 45m,5945.0,5661.9,283.1,INR,1 Seat Left,2026-08-27 08:14:11,EaseMyTrip
Ahmedabad,New Delhi,IndiGo,6E-2340,Nonstop,2026-09-03,12:15,14:10,01h 55m,5945.0,5661.9,283.1,INR,,2026-08-27 08:13:46,EaseMyTrip
Ahmedabad,New Delhi,IndiGo,6E-2340,Nonstop,2026-09-11,12:15,14:10,01h 55m,5945.0,5661.9,283.1,INR,,2026-08-27 08:13:59,EaseMyTrip
Hyderbad,Mumbai,IndiGo,6E- 413,1 Stop,2026-09-26,06:15,12:05,05h 50m,5952.0,5668.57,283.43,INR,,2026-08-27 08:16:18,EaseMyTrip
Hyderbad,Mumbai,IndiGo,6E- 314,1 Stop,2026-09-26,16:30,20:40,04h 10m,5952.0,5668.57,283.43,INR,,2026-08-27 08:16:18,EaseMyTrip
Hyderbad,Mumbai,IndiGo,6E- 311,1 Stop,2026-09-26,12:50,19:05,06h 15m,5952.0,5668.57,283.43,INR,,2026-08-27 08:16:18,EaseMyTrip
Hyderbad,Mumbai,IndiGo,6E-6066,1 Stop,2026-09-26,09:35,16:05,06h 30m,5952.0,5668.57,283.43,INR,9 Seats Left,2026-08-27 08:16:18,EaseMyTrip
Hyderbad,Mumbai,IndiGo,6E- 285,1 Stop,2026-10-11,20:00,00:05,04h 05m,5952.0,5668.57,283.43,INR,,2026-08-27 08:16:31,EaseMyTrip
Hyderbad,Mumbai,IndiGo,6E-6727,1 Stop,2026-10-11,18:15,23:00,04h 45m,5952.0,5668.57,283.43,INR,4 Seats Left,2026-08-27 08:16:31,EaseMyTrip
Hyderbad,Mumbai,IndiGo,6E-6405,1 Stop,2026-09-26,14:30,19:05,04h 35m,5952.0,5668.57,283.43,INR,,2026-08-27 08:16:18,EaseMyTrip
Hyderbad,Mumbai,IndiGo,6E-6417,1 Stop,2026-09-26,17:45,22:00,04h 15m,5952.0,5668.57,283.43,INR,,2026-08-27 08:16:18,EaseMyTrip
Hyderbad,Mumbai,IndiGo,6E-6417,1 Stop,2026-10-11,17:45,22:00,04h 15m,5952.0,5668.57,283.43,INR,,2026-08-27 08:16:31,EaseMyTrip
Hyderbad,Mumbai,IndiGo,6E- 314,1 Stop,2026-10-11,16:30,20:40,04h 10m,5952.0,5668.57,283.43,INR,,2026-08-27 08:16:31,EaseMyTrip
Hyderbad,Mumbai,IndiGo,6E-6727,1 Stop,2026-09-26,18:15,00:30,06h 15m,5952.0,5668.57,283.43,INR,,2026-08-27 08:16:18,EaseMyTrip
Hyderbad,Mumbai,IndiGo,6E-6505,1 Stop,2026-10-11,21:35,02:50,05h 15m,5952.0,5668.57,283.43,INR,,2026-08-27 08:16:31,EaseMyTrip
Hyderbad,Mumbai,IndiGo,6E- 949,1 Stop,2026-10-11,23:40,05:30,05h 50m,5952.0,5668.57,283.43,INR,,2026-08-27 08:16:31,EaseMyTrip
Hyderbad,Mumbai,IndiGo,6E-7452,1 Stop,2026-10-11,06:00,11:45,05h 45m,5952.0,5668.57,283.43,INR,7 Seats Left,2026-08-27 08:16:31,EaseMyTrip
Hyderbad,Mumbai,IndiGo,6E-6783,1 Stop,2026-10-11,18:45,00:05,05h 20m,5952.0,5668.57,283.43,INR,,2026-08-27 08:16:31,EaseMyTrip
Hyderbad,Mumbai,IndiGo,6E-6574,1 Stop,2026-10-11,12:05,18:55,06h 50m,5952.0,5668.57,283.43,INR,,2026-08-27 08:16:31,EaseMyTrip
Bengaluru,Mumbai,AkasaAir,QP-1517,Nonstop,2026-09-03,07:40,09:20,01h 40m,6056.0,5767.62,288.38,INR,5 Seats Left,2026-08-27 08:09:34,EaseMyTrip
Hyderbad,Mumbai,IndiGo,6E-6424,1 Stop,2026-09-03,14:10,20:15,06h 05m,6060.0,5771.43,288.57,INR,,2026-08-27 08:15:52,EaseMyTrip
Hyderbad,Mumbai,IndiGo,6E-6646,1 Stop,2026-09-03,07:20,14:15,06h 55m,6060.0,5771.43,288.57,INR,,2026-08-27 08:15:52,EaseMyTrip
Hyderbad,Mumbai,IndiGo,6E-7248,1 Stop,2026-10-11,18:00,00:10,06h 10m,6083.0,5793.33,289.67,INR,,2026-08-27 08:16:31,EaseMyTrip
Hyderbad,Mumbai,IndiGo,6E-6291,1 Stop,2026-09-26,09:20,16:35,07h 15m,6083.0,5793.33,289.67,INR,,2026-08-27 08:16:18,EaseMyTrip
Bengaluru,Navi Mumbai,AkasaAir,QP-2008,Nonstop,2026-10-11,20:00,21:50,01h 50m,6090.0,5800.0,290.0,INR,9 Seats Left,2026-08-27 08:10:13,EaseMyTrip
Ahmedabad,New Delhi,Air India,AI-882,Nonstop,2026-09-03,15:55,17:45,01h 50m,6116.0,5824.76,291.24,INR,9 Seats Left,2026-08-27 08:13:46,EaseMyTrip
Ahmedabad,New Delhi,Air India,AI-882,Nonstop,2026-08-28,15:55,17:45,01h 50m,6116.0,5824.76,291.24,INR,9 Seats Left,2026-08-27 08:13:33,EaseMyTrip
Ahmedabad,New Delhi,Air India,AI-882,Nonstop,2026-09-26,15:55,17:45,01h 50m,6116.0,5824.76,291.24,INR,9 Seats Left,2026-08-27 08:14:11,EaseMyTrip
Ahmedabad,New Delhi,Air India,AI-818,Nonstop,2026-10-11,08:25,10:14,01h 49m,6116.0,5824.76,291.24,INR,9 Seats Left,2026-08-27 08:14:25,EaseMyTrip
Ahmedabad,New Delhi,Air India,AI-424,Nonstop,2026-10-11,12:30,14:10,01h 40m,6116.0,5824.76,291.24,INR,9 Seats Left,2026-08-27 08:14:25,EaseMyTrip
Ahmedabad,New Delhi,Air India,AI-1121,Nonstop,2026-09-11,20:15,22:00,01h 45m,6116.0,5824.76,291.24,INR,9 Seats Left,2026-08-27 08:13:59,EaseMyTrip
Ahmedabad,New Delhi,Air India,AI-424,Nonstop,2026-09-11,13:00,14:40,01h 40m,6116.0,5824.76,291.24,INR,9 Seats Left,2026-08-27 08:13:59,EaseMyTrip
Ahmedabad,New Delhi,IndiGo,6E- 980,Nonstop,2026-08-28,17:05,18:50,01h 45m,6155.0,5861.9,293.1,INR,,2026-08-27 08:13:33,EaseMyTrip
Ahmedabad,New Delhi,IndiGo,6E- 932,Nonstop,2026-09-03,21:50,23:30,01h 40m,6155.0,5861.9,293.1,INR,,2026-08-27 08:13:46,EaseMyTrip
Ahmedabad,New Delhi,IndiGo,6E-5072,Nonstop,2026-09-03,14:35,16:20,01h 45m,6155.0,5861.9,293.1,INR,,2026-08-27 08:13:46,EaseMyTrip
Ahmedabad,New Delhi,IndiGo,6E-5072,Nonstop,2026-08-28,14:35,16:20,01h 45m,6155.0,5861.9,293.1,INR,,2026-08-27 08:13:33,EaseMyTrip
Ahmedabad,New Delhi,IndiGo,6E-2263,Nonstop,2026-09-03,19:25,21:05,01h 40m,6155.0,5861.9,293.1,INR,5 Seats Left,2026-08-27 08:13:46,EaseMyTrip
Ahmedabad,New Delhi,IndiGo,6E-2263,Nonstop,2026-08-28,19:25,21:05,01h 40m,6155.0,5861.9,293.1,INR,,2026-08-27 08:13:33,EaseMyTrip
Ahmedabad,New Delhi,IndiGo,6E- 980,Nonstop,2026-10-11,17:05,18:50,01h 45m,6155.0,5861.9,293.1,INR,,2026-08-27 08:14:25,EaseMyTrip
Ahmedabad,New Delhi,IndiGo,6E-2263,Nonstop,2026-10-11,19:25,21:05,01h 40m,6155.0,5861.9,293.1,INR,,2026-08-27 08:14:25,EaseMyTrip
Ahmedabad,New Delhi,IndiGo,6E-2209,Nonstop,2026-10-11,05:00,06:45,01h 45m,6155.0,5861.9,293.1,INR,,2026-08-27 08:14:25,EaseMyTrip
Ahmedabad,New Delhi,IndiGo,6E-2179,Nonstop,2026-10-11,09:50,11:35,01h 45m,6155.0,5861.9,293.1,INR,,2026-08-27 08:14:25,EaseMyTrip
Ahmedabad,New Delhi,IndiGo,6E-5072,Nonstop,2026-10-11,14:35,16:20,01h 45m,6155.0,5861.9,293.1,INR,,2026-08-27 08:14:25,EaseMyTrip
Ahmedabad,New Delhi,IndiGo,6E- 932,Nonstop,2026-10-11,21:50,23:30,01h 40m,6155.0,5861.9,293.1,INR,,2026-08-27 08:14:25,EaseMyTrip
Ahmedabad,New Delhi,IndiGo,6E-2263,Nonstop,2026-09-26,19:25,21:05,01h 40m,6155.0,5861.9,293.1,INR,,2026-08-27 08:14:11,EaseMyTrip
Ahmedabad,New Delhi,IndiGo,6E- 932,Nonstop,2026-09-26,21:50,23:30,01h 40m,6155.0,5861.9,293.1,INR,,2026-08-27 08:14:11,EaseMyTrip
Ahmedabad,New Delhi,IndiGo,6E- 980,Nonstop,2026-09-11,17:05,18:50,01h 45m,6155.0,5861.9,293.1,INR,,2026-08-27 08:13:59,EaseMyTrip
Ahmedabad,New Delhi,IndiGo,6E-2209,Nonstop,2026-09-11,05:00,06:45,01h 45m,6155.0,5861.9,293.1,INR,,2026-08-27 08:13:59,EaseMyTrip
Ahmedabad,New Delhi,IndiGo,6E- 932,Nonstop,2026-08-28,21:50,23:30,01h 40m,6155.0,5861.9,293.1,INR,,2026-08-27 08:13:33,EaseMyTrip
Ahmedabad,New Delhi,IndiGo,6E- 980,Nonstop,2026-09-26,17:05,18:50,01h 45m,6155.0,5861.9,293.1,INR,,2026-08-27 08:14:11,EaseMyTrip
Ahmedabad,New Delhi,IndiGo,6E- 983,Nonstop,2026-09-11,07:30,09:15,01h 45m,6155.0,5861.9,293.1,INR,,2026-08-27 08:13:59,EaseMyTrip
Ahmedabad,New Delhi,IndiGo,6E-5072,Nonstop,2026-09-11,14:35,16:20,01h 45m,6155.0,5861.9,293.1,INR,,2026-08-27 08:13:59,EaseMyTrip
Ahmedabad,New Delhi,IndiGo,6E- 932,Nonstop,2026-09-11,21:50,23:30,01h 40m,6155.0,5861.9,293.1,INR,,2026-08-27 08:13:59,EaseMyTrip
Ahmedabad,New Delhi,IndiGo,6E-2263,Nonstop,2026-09-11,19:25,21:05,01h 40m,6155.0,5861.9,293.1,INR,,2026-08-27 08:13:59,EaseMyTrip
Ahmedabad,New Delhi,IndiGo,6E-2179,Nonstop,2026-09-11,09:50,11:35,01h 45m,6155.0,5861.9,293.1,INR,,2026-08-27 08:13:59,EaseMyTrip
Ahmedabad,New Delhi,IndiGo,6E- 980,Nonstop,2026-09-03,17:05,18:50,01h 45m,6155.0,5861.9,293.1,INR,,2026-08-27 08:13:46,EaseMyTrip
New Delhi,Mumbai,IndiGo,6E-2331,1 Stop,2026-09-11,12:20,18:25,06h 05m,6179.0,5884.76,294.24,INR,,2026-08-27 08:07:40,EaseMyTrip
New Delhi,Mumbai,IndiGo,6E-5119,1 Stop,2026-09-11,05:10,09:35,04h 25m,6179.0,5884.76,294.24,INR,,2026-08-27 08:07:40,EaseMyTrip
New Delhi,Mumbai,IndiGo,6E-5073,1 Stop,2026-09-11,17:05,21:05,04h 00m,6179.0,5884.76,294.24,INR,,2026-08-27 08:07:40,EaseMyTrip
New Delhi,Navi Mumbai,IndiGo,6E-6190,1 Stop,2026-09-11,07:40,12:50,05h 10m,6179.0,5884.76,294.24,INR,3 Seats Left,2026-08-27 08:07:40,EaseMyTrip
